date,cases_cum_count,new_0_19_pct,new_20_39_pct,new_40_59_pct,new_60_pct,new_0_19_count,not_hosp_pct,hosp_pct,under_invest_pct,death_cum_count,death_ltc_cum_count,death_pct,hosp_0_19_,hosp_20_36_pct,hosp_40_59_pct,hosp_60_plus_pct,death_0_19_pct,death_20_39_pct,death_40_59_pct,death_60_plus_pct,death_0_19_cum_count,death_20_39_cum_count,death_40_59_cum_count,no_other_ill_cum_count
2020-03-22,80,1.2,48.8,32.5,17.5,NaN,NaN,NaN,NaN,0,,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
2020-03-26,230,1,46,34.8,18.2,NaN,77.8,17.8,4.4,0,,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
2020-03-28,303,0.7,41.3,34,24.1,NaN,75.2,21.2,3.6,1,,0.3,0,6,17,53,NaN,NaN,NaN,NaN,0,0,0,0
2020-04-01,466,1.1,38.4,36.1,24.5,NaN,75.3,18.9,5.8,3,,0.6,0,5,16,50,NaN,NaN,NaN,NaN,0,0,0,0
2020-04-04,650,1.7,34.9,35.8,24.5,11,74.5,19.7,5.8,7,,1.1,0,5,16,48,NaN,NaN,NaN,NaN,0,0,0,0
2020-04-09,869,2.1,33.5,38.3,26.1,NaN,75.8,20.1,4.1,12,,1.3,11,5,17,46,NaN,NaN,NaN,NaN,0,0,0,0
2020-04-12,951,2,33,38.2,26.8,NaN,77.1,19.8,3.1,12,,1.3,11,5,17,42,NaN,NaN,NaN,NaN,0,0,0,0
2020-04-16,1098,2,31.7,38.2,28.1,NaN,77.2,19.6,3.2,21,,1.9,9,6,16,41,NaN,NaN,NaN,NaN,0,0,0,0
2020-04-19,1186,2.6,32.4,36.9,28.1,NaN,77.7,18.8,3.5,29,,2.4,7,5,16,40,NaN,NaN,NaN,NaN,0,0,3,0
2020-04-22,1331,2.8,31.7,36.4,29.1,NaN,76.5,18.1,5.4,35,,2.6,5,5,15,38,NaN,NaN,NaN,NaN,0,0,3,0
2020-04-26,1468,2.9,33.2,35.6,28.3,NaN,78,16.8,5.2,40,,2.7,7,5,14,35,NaN,NaN,NaN,NaN,0,0,3,0
2020-04-29,1587,3.2,33.4,35.2,28.2,NaN,78.3,16.2,5.5,46,,2.9,6,5,13,34,NaN,NaN,NaN,NaN,0,0,3,0
